year,pitcher_id,pitch_type,run_value_per_100,run_value,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
2022,656302,FF,-0.4,-5,268,0.24,0.391,0.336,23.2,21.3,16.3,0.218,0.366,0.322,35.5
2022,592351,FF,-0.3,-3,267,0.275,0.417,0.341,17.4,19.5,16.6,0.279,0.429,0.343,43.2
2022,669467,FF,-0.6,-6,266,0.293,0.384,0.336,12.2,11.3,13.4,0.263,0.351,0.307,43
2022,641154,CH,-0.4,-4,265,0.22,0.374,0.289,33.9,27.5,21.2,0.233,0.367,0.288,33.9
2022,645261,CH,-2.7,-25,265,0.145,0.194,0.177,34.4,29.4,26.8,0.17,0.23,0.2,29.1
2022,666201,FF,-1.8,-19,265,0.211,0.338,0.285,26.1,24.9,22.5,0.24,0.391,0.311,39.7
2022,669456,SL,-1.4,-12,263,0.191,0.287,0.233,40,31.2,27.2,0.196,0.297,0.235,34.3
2022,605288,SIFT,0.4,3,262,0.298,0.44,0.377,12.7,9.5,12.5,0.31,0.467,0.383,42.2
2022,500779,FF,-1.7,-17,262,0.215,0.317,0.26,22.9,23.3,16.2,0.24,0.347,0.281,32.4
2022,608331,FF,-1.3,-12,260,0.25,0.375,0.302,14.7,14.6,15,0.256,0.387,0.312,33.5
2022,596001,SL,-0.7,-7,257,0.226,0.381,0.288,25.1,28.8,22.9,0.229,0.361,0.283,39.2
2022,641771,SL,-0.8,-7,257,0.213,0.387,0.289,34.2,33.1,22.9,0.217,0.352,0.278,35.1
2022,605135,SIFT,-1.8,-18,256,0.257,0.35,0.325,15.2,10.5,19.4,0.252,0.403,0.329,36
2022,663903,SL,-0.8,-7,254,0.237,0.371,0.289,33.9,30.7,24.5,0.229,0.367,0.288,40.9
2022,615698,FC,-0.1,-1,254,0.235,0.368,0.289,23.8,18.5,17.2,0.255,0.42,0.316,39.8
2022,663738,FF,0.1,1,253,0.305,0.439,0.382,19.2,17,14.2,0.301,0.499,0.381,52.2
2022,645261,SIFT,-1,-8,252,0.265,0.357,0.318,10.8,11.5,15.8,0.253,0.342,0.298,36.8
2022,660271,ST,-2.6,-25,251,0.165,0.274,0.232,38.2,32.7,30.3,0.183,0.293,0.243,30
2022,669432,FF,1,11,247,0.312,0.553,0.409,22.8,21.9,18.6,0.3,0.535,0.402,49.1
2022,669456,FF,0.1,1,246,0.292,0.434,0.356,15.1,16.3,20,0.315,0.513,0.381,55.3
2022,608344,FF,-0.8,-8,244,0.222,0.387,0.287,23.7,28.3,22.4,0.233,0.424,0.304,45.7
2022,657277,SIFT,-0.9,-9,244,0.327,0.45,0.386,13,11.1,21.1,0.303,0.44,0.361,47.2
2022,664285,CUKC,-1.2,-11,243,0.146,0.196,0.21,45.4,50.6,30.4,0.146,0.203,0.202,34.7
2022,543475,FF,0.5,5,242,0.286,0.54,0.395,18.8,13.6,13.1,0.304,0.561,0.41,50
2022,542881,CH,-1.8,-14,242,0.179,0.262,0.213,37,24.8,21.7,0.19,0.274,0.223,19.3
2022,570632,SIFT,0.4,3,242,0.313,0.447,0.369,13.8,12,18.7,0.306,0.486,0.379,48.1
2022,641712,SIFT,0.9,7,241,0.318,0.418,0.379,7.3,6.6,8.9,0.317,0.456,0.391,47.6
2022,502042,SL,-1.2,-9,241,0.202,0.337,0.298,26.5,21.2,17.2,0.241,0.38,0.32,43.8
2022,605488,CH,-1.7,-12,240,0.229,0.32,0.265,38.1,29.2,26.3,0.205,0.279,0.229,27.3
2022,592791,FF,-0.3,-3,240,0.257,0.455,0.337,22.8,25.8,17.5,0.255,0.474,0.339,50.3
2022,554430,FF,-1,-10,238,0.212,0.359,0.282,28.3,29.8,23.7,0.23,0.392,0.302,47.6
2022,669923,FF,-1.9,-18,237,0.221,0.345,0.257,26.4,30.4,22.4,0.208,0.376,0.267,42.9
2022,605400,CUKC,-0.9,-7,236,0.219,0.346,0.261,39.4,36,27,0.195,0.286,0.228,26.6
2022,641771,SIFT,2.6,26,236,0.367,0.599,0.459,11.8,1.7,4.4,0.347,0.608,0.442,53.7
2022,502179,FF,0.5,5,236,0.286,0.482,0.362,12.2,15.3,14.2,0.297,0.536,0.379,47.8
2022,668881,SL,-0.6,-5,236,0.17,0.307,0.261,38,34.3,22.9,0.177,0.29,0.248,29.3
2022,607200,SIFT,0,0,234,0.309,0.461,0.372,14.3,13.7,13.1,0.301,0.44,0.364,49.1
2022,607074,SL,-1,-9,234,0.193,0.239,0.225,39,39.7,24.2,0.177,0.237,0.213,30.2
2022,622072,SIFT,0.6,6,233,0.261,0.469,0.335,23.2,29.2,19.6,0.243,0.463,0.33,45.9
2022,680686,FF,2.2,22,233,0.305,0.742,0.487,17.1,8.6,10.1,0.261,0.632,0.431,45.3
2022,543606,FF,0.5,4,233,0.272,0.437,0.346,22.2,18,15.8,0.272,0.448,0.351,39.8
2022,668933,FC,-0.2,-2,232,0.285,0.382,0.342,15.2,9.5,11.1,0.27,0.377,0.324,33.3
2022,453286,FF,-1.3,-13,232,0.212,0.37,0.279,23,21.1,23.1,0.232,0.459,0.332,44.2
2022,666120,FF,0.4,4,231,0.306,0.444,0.38,18.1,10.4,9.9,0.299,0.46,0.384,47.1
2022,477132,SL,-1.3,-10,231,0.2,0.298,0.26,37.3,33.3,25.7,0.201,0.276,0.237,36.4
2022,666201,SL,-0.8,-6,231,0.19,0.324,0.248,31.8,27.7,20.6,0.218,0.346,0.272,22.7
2022,518876,FF,-0.9,-8,229,0.21,0.365,0.306,23.3,25.8,22.1,0.191,0.343,0.287,39.7
2022,672282,FF,-0.5,-5,229,0.232,0.412,0.335,22.2,19.2,15.9,0.262,0.455,0.359,43.5
2022,680694,FF,2.1,19,229,0.321,0.539,0.42,17.5,15.7,16.5,0.3,0.517,0.398,44.7
2022,657277,SL,0.1,1,228,0.202,0.329,0.27,31.1,26.3,16.7,0.203,0.331,0.253,24.4
2022,434378,SL,-0.8,-6,227,0.188,0.261,0.22,34.6,39.6,26.7,0.187,0.289,0.222,27.9
2022,641745,FF,0.6,5,226,0.25,0.38,0.317,18.1,20.4,18,0.248,0.369,0.3,34.4
2022,605400,FF,-1,-11,226,0.196,0.354,0.267,24.2,29.2,20.9,0.199,0.38,0.28,35.4
2022,680686,SL,-1.4,-11,225,0.189,0.316,0.256,38,35.6,28.3,0.179,0.261,0.221,28
2022,592866,FF,-1.7,-12,225,0.243,0.371,0.298,19.9,24,20.6,0.224,0.369,0.284,42.3
2022,641745,SL,0.8,7,225,0.265,0.43,0.336,29.2,20.4,18.6,0.247,0.426,0.331,42.3
2022,527048,CH,0.2,1,224,0.233,0.338,0.286,33.5,18.8,17.7,0.251,0.353,0.289,25.4
2022,592836,FS,-2,-14,223,0.195,0.267,0.243,29,24.2,19.3,0.225,0.323,0.261,40.8
